id,title,overview,genres,vote_average,original_language,keywords
1339713,Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.","Horror, Thriller",7.9,en,"obsession, supernatural, possession, wish, unrequited love, couple, taunting, absurdism, self-harm, supernatural horror, psychological, independent film, psychological horror, cursed object, antagonistic, baffled"
931285,Mortal Kombat II,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.","Action, Fantasy, Adventure",7.985,en,"martial arts, magic, ninja fighter, gore, sequel, god, alternate dimension, ninja, fighting, based on video game, martial arts tournament, struggling actor, hand to hand combat"
936075,Michael,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.","Music, Drama",8.648,en,"child abuse, sibling relationship, 1970s, abusive father, ambition, biography, singer, period drama, music history, price of fame, singer-songwriter, rise to fame, 1980s, 1960s, music, approving, comforting, biographical drama, music drama, biopic"
1367220,Karuppu,"In a world where justice falters, guardian deity Vettai Karuppu takes the guise of a lawyer to battle a corrupt legal system preying on the powerless.","Action, Fantasy",7.059,ta,"crooked lawyer, lawyer, taunting, political corruption, hindu god, supernatural drama, corrupt legal system, crime drama"
879945,The Unknown Man,"Louis, a Flemish writer, decides to isolate himself at the Côte d’Azur, hoping this place will bring him inspiration.",Drama,7.8,nl,"côte d'azur, writer, lgbt, gay theme, short film"
1057265,Peddi,"In 1980s rural Andhra Pradesh, a spirited villager unites his community through sports to defend their pride against a powerful rival.","Action, Drama",6.58,te,"sports, politics, cricket, 1980s, multi-sports"
1239134,Bhooth Bangla,"A man inherits a palace in rural Mangalpur and plans his sister's wedding there, but strange supernatural events and panicked locals force him to investigate the property's mysterious past.","Horror, Comedy",5.5,hi,"haunted house, black magic, based on myths, legends or folklore, supernatural horror, indian mythology, comedy horror, supernatural comedy"
1275779,Disclosure Day,"If you found out we weren’t alone, if someone showed you, proved it to you, would that frighten you?","Thriller, Science Fiction, Mystery",6.77,en,"race against time, alien, alien invasion, meteorologist, government secrets, complex, wonder, cautionary, conspiracy thriller, dramatic, empathetic, exhilarated, foreboding, suspense mystery"
1308553,Hai Jawani Toh Ishq Hona Hai,"When Jass leaves his marriage over conflicting priorities, a new romance abroad is upended by shocking revelations, forcing him to confront love, loyalty, and the true meaning of commitment.","Romance, Comedy",5.722,hi,
1523145,Your Heart Will Be Broken,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.","Romance, Drama",7.0,ru,based on novel or book
